X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,ImageFile,targ_side,correctAnswer,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,exp,trial,colour,distNo,key_resp.rt
19.8,20,space,5.064495,space,9.77118,space,5.04799,space,1.934285,space,3.89714,space,15.36169,space,4.476635,space,4.22097,2,1,2.077305,0,0,0,7,1,Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,4.83925,1,0,0.832165,0,1,1,3,1,Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.716775,1,1,0.860105,0,2,2,10,1,Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.79783,1,1,0.82206,0,3,3,15,1,Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.41184,2,1,0.84474,0,4,4,0,1,Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,2.333355,2,1,0.589315,0,5,5,6,1,Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.63308,2,1,2.76662,0,6,6,4,1,Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.414215,2,1,0.613315,0,7,7,2,1,Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.274365,2,0,1.214875,0,8,8,13,1,Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.202315,1,1,0.61384,0,9,9,19,1,Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.04382,,0,,0,10,10,5,1,Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.570585,1,1,1.557105,0,11,11,12,1,Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.4362,2,1,0.90379,0,12,12,8,1,Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.200455,1,1,0.52327,0,13,13,11,1,Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.524925,2,0,1.18473,0,14,14,14,1,Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.41673,2,1,0.538265,0,15,15,1,1,Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.40178,2,1,0.52727,0,16,16,18,1,Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.457765,1,1,0.558435,0,17,17,17,1,Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.478515,1,1,0.61031,0,18,18,9,1,Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.449925,1,1,0.7949,0,19,19,16,1,Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1b_trial_34_colour3_distractors31_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,space,5.838785,space,3.013745,1,1,1.07091,,0,0,0,148,1,1b,34,3,31,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2b_trial_64_colour2_distractors9_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,space,1.315455,1,1,0.864725,,0,1,1,406,1,2b,64,2,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_63_colour2_distractors4_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,space,1.32647,2,0,3.210605,,0,2,2,63,1,1a,63,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2c_trial_35_colour3_distractors43_l.png,l,1,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,space,0.73636,1,1,0.88228,,0,3,3,491,1,2c,35,3,43,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1b_trial_79_colour1_distractors19_r.png,r,2,021,001,2021-04-22_17h53.14.222,searchDisc4,2020.2.10,Win32,60,,,space,0.95954,2,1,1.177935,,0,4,4,193,1,1b,79,1,19,
