X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,ImageFile,targ_side,correctAnswer,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,exp,trial,colour,distNo,key_resp.rt
19.7,19.8,space,5.887315,space,0.627285,space,2.087645,space,0.73656,space,3.15271,space,6.96027,space,2.145095,space,2.100825,2,1,0.814865,0,0,0,4,1,Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.64104,2,1,0.446185,0,1,1,1,1,Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.3029,2,1,0.81512,0,2,2,3,1,Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.43409,1,1,0.659755,0,3,3,19,1,Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.33313,1,1,0.639945,0,4,4,14,1,Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.38982,1,1,0.87316,0,5,5,10,1,Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.362265,1,1,0.566635,0,6,6,16,1,Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.381055,2,1,0.58022,0,7,7,8,1,Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.35859,1,0,1.050025,0,8,8,5,1,Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.37191,2,1,0.667885,0,9,9,0,1,Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,022,001,2021-04-22_19h14.55.646,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
