X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,ImageFile,targ_side,correctAnswer,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,exp,trial,colour,distNo,key_resp.rt
20.5,20.3,space,7.313,space,39.195,space,38.53,space,10.666,space,8.389,space,66.699,space,19.968,space,23.181,,0,0,0,0,14,1,Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,4.235,1,0,0,1,1,0,1,Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.843,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,3.92,1,1,0,2,2,9,1,Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.829,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.47,2,1,0,3,3,4,1,Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.629,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.851,2,1,0,4,4,6,1,Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.512,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.441,2,0,0,5,5,10,1,Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.582,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.451,2,1,0,6,6,18,1,Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.528,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.539,1,1,0,7,7,13,1,Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.836,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.435,1,1,0,8,8,19,1,Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.584,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.451,1,1,0,9,9,15,1,Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.715,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.569,1,1,0,10,10,12,1,Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.628,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.368,1,1,0,11,11,17,1,Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.837,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.386,2,1,0,12,12,8,1,Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.784,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.442,2,1,0,13,13,2,1,Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.894,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.759,1,1,0,14,14,16,1,Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.662,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.435,2,1,0,15,15,7,1,Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.796,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.421,2,1,0,16,16,1,1,Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.699,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.34,1,1,0,17,17,11,1,Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.562,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.436,2,1,0,18,18,3,1,Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,0.713,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.451,2,1,0,19,19,5,1,Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,1.181,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_28_colour2_distractors31_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,space,1.707,space,1.461,1,1,0.764,,0,0,0,28,1,1a,28,2,31,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2a_trial_1_colour1_distractors4_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,1.505,2,1,0.668,,0,1,1,229,1,2a,1,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2a_trial_113_colour0_distractors0_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,1.086,1,1,0.687,,0,2,2,341,1,2a,113,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_70_colour3_distractors9_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,0.505,1,1,0.782,,0,3,3,70,1,1a,70,3,9,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_93_colour3_distractors43_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,0.624,2,1,0.911,,0,4,4,93,1,1a,93,3,43,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2c_trial_60_colour1_distractors31_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,0.585,1,1,0.846,,0,5,5,516,1,2c,60,1,31,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2c_trial_33_colour3_distractors19_l.png,l,1,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,0.501,1,1,1.066,,0,6,6,489,1,2c,33,3,19,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2a_trial_17_colour3_distractors43_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,0.585,2,1,0.854,,0,7,7,245,1,2a,17,3,43,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_85_colour2_distractors19_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,0.534,2,1,0.764,,0,8,8,85,1,1a,85,2,19,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2a_trial_15_colour3_distractors19_r.png,r,2,017,001,2021-04-20_12h23.08.422,searchDisc4,2020.2.10,Win32,60,,,,space,0.534,1,0,0.818,,0,9,9,243,1,2a,15,3,19,
