X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,ImageFile,targ_side,correctAnswer,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,exp,trial,colour,distNo,key_resp.rt
19.8,19.8,space,9.31752,space,47.309325,space,5.772865,space,1.98942,space,7.12604,space,19.137795,space,5.180355,space,9.27144,1,1,4.879995,0,0,0,13,1,Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.39009,1,1,1.11027,0,1,1,17,1,Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.57568,2,1,1.35537,0,2,2,8,1,Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.624695,1,1,0.812475,0,3,3,14,1,Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.38353,1,1,0.728935,0,4,4,9,1,Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.62343,2,1,1.250045,0,5,5,18,1,Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.490295,1,1,0.76102,0,6,6,16,1,Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.40598,1,1,0.896455,0,7,7,11,1,Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.63955,1,1,0.849435,0,8,8,10,1,Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.906095,1,1,0.84902,0,9,9,12,1,Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.79364,2,1,0.6768,0,10,10,1,1,Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.95011,2,1,0.65756,0,11,11,7,1,Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.116815,2,1,0.69029,0,12,12,0,1,Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.521365,2,1,0.591965,0,13,13,6,1,Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.52287,2,1,0.69711,0,14,14,3,1,Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.519755,2,1,0.66873,0,15,15,2,1,Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.50204,1,1,0.61385,0,16,16,15,1,Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.343015,2,1,0.932315,0,17,17,5,1,Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.37019,2,1,0.74231,0,18,18,4,1,Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.579525,1,1,0.68716,0,19,19,19,1,Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_106_colour3_distractors1_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,space,3.99193,space,0.660225,1,1,0.810175,,0,0,0,106,1,1a,106,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2a_trial_94_colour1_distractors1_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,space,0.90315,1,1,0.773675,,0,1,1,322,1,2a,94,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_63_colour2_distractors4_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,space,0.754855,1,1,0.8084,,0,2,2,63,1,1a,63,2,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1b_trial_100_colour2_distractors1_l.png,l,1,006,001,2021-04-14_15h44.27.197,searchDisc4,2020.2.10,Win32,60,,,space,0.5626,1,1,1.02271,,0,3,3,214,1,1b,100,2,1,
