X Scale,Y Scale,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_5.keys,key_resp_5.rt,key_resp_8.keys,key_resp_8.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_4.keys,key_resp_4.corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,ImageFile,targ_side,correctAnswer,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_4.rt,key_resp_3.keys,key_resp_3.rt,key_resp_9.keys,key_resp_9.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,exp,trial,colour,distNo,key_resp.rt
22.1,22.1,space,0.801045,space,357.4527,space,8.595725,space,9.825695,space,4.943245,space,18.79419,space,9.26799,space,11.982505,,0,0,0,0,11,1,Practice arrays/exp1a_trial_21_colour1_distractors19_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,1.205875,2,1,0,1,1,3,1,Practice arrays/exp1a_trial_7_colour2_distractors4_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,1.29526,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.579045,2,1,0,2,2,4,1,Practice arrays/exp1a_trial_8_colour2_distractors9_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.681095,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.45213,2,1,0,3,3,8,1,Practice arrays/exp1a_trial_16_colour3_distractors31_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.98149,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.35334,1,1,0,4,4,9,1,Practice arrays/exp1a_trial_19_colour1_distractors4_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.90848,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.58246,2,1,0,5,5,2,1,Practice arrays/exp1a_trial_5_colour1_distractors43_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,1.197815,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.35723,2,1,0,6,6,1,1,Practice arrays/exp1a_trial_3_colour1_distractors19_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.641415,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.38814,2,1,0,7,7,6,1,Practice arrays/exp1a_trial_12_colour3_distractors1_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.89316,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.30961,1,1,0,8,8,14,1,Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.923215,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.26733,2,1,0,9,9,0,1,Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.578785,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.31065,1,1,0,10,10,12,1,Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.66765,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.133225,1,1,0,11,11,16,1,Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.706225,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.40596,2,1,0,12,12,7,1,Practice arrays/exp1a_trial_13_colour3_distractors4_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.550415,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.29209,1,1,0,13,13,10,1,Practice arrays/exp1a_trial_20_colour1_distractors9_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.759675,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.29273,1,1,0,14,14,19,1,Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.483265,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.38942,2,1,0,15,15,5,1,Practice arrays/exp1a_trial_10_colour2_distractors31_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.665185,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.355845,1,1,0,16,16,15,1,Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.784065,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.356235,2,1,0,17,17,18,1,Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.652995,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.4271,1,1,0,18,18,13,1,Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.7868,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,space,0.297265,1,1,0,19,19,17,1,Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,0.72515,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2b_trial_94_colour1_distractors1_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,,space,3.567795,space,0.65116,1,1,0.85015,,0,0,0,436,1,2b,94,1,1,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1b_trial_1_colour1_distractors4_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,,,,space,0.982055,2,1,0.72254,,0,1,1,115,1,1b,1,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2a_trial_99_colour1_distractors43_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,,,,space,0.773165,1,1,0.917075,,0,2,2,327,1,2a,99,1,43,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2c_trial_60_colour1_distractors31_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,,,,space,0.653765,1,1,0.756765,,0,3,3,516,1,2c,60,1,31,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp2a_trial_57_colour1_distractors4_l.png,l,1,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,,,,space,0.584825,1,1,0.59332,,0,4,4,285,1,2a,57,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,images/exp1a_trial_91_colour3_distractors19_r.png,r,2,014,001,2021-04-20_16h55.56.134,searchDisc4,2020.2.10,Win32,60,,,,space,0.452525,2,1,0.630415,,0,5,5,91,1,1a,91,3,19,
